"Review_order_editorial","Decision","Offer","ClickBank_vendor_ID","ShoppeCove_topic","Product_format","Why_this_decision","Suggested_blog_title_after_verification","Keyword_ideas_NOT_volume_validated","Avg_net_commission_per_conversion_USD_90d","CVR_percent_30d","EPC_net_USD_30d","Gravity_90d","Marketplace_rank","Seller_commission_terms_NOT_account_confirmed","Approval_and_blog_permission","Key_promotion_restrictions_or_editorial_limits","US_availability_verification","Assets_and_review_access","Next_action","Marketplace_source_URL","Affiliate_resources_URL","Additional_source_URLs","Verification_depth","Checked_on","Metric_and_research_limitations","Existing_user_supplied_affiliate_link"
"11","Later topic expansion","Ideas4Landscaping","IDEAS4LAND","Garden & outdoor planning","Digital idea library","Good visual planning fit for homeowners, but minimal current marketplace activity and unverified library quality reduce priority.","How to use a landscaping idea library for a small yard","small yard landscaping ideas; landscaping idea library review","23.78","0","0","0.4","936","75% stated in marketplace listing; scope and assigned rate unverified.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Full terms and image-republication rights not reviewed. Match advice to climate, yard dimensions and maintenance needs; no universal cost savings.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Affiliate page listed; image rights and sample library not verified.","Obtain a sample and written image permissions; inspect freshness, searchability and US climate relevance before creating a review.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=IDEAS4LAND&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DIDEAS4LAND","https://www.ideas4landscaping.com/affiliates","","Marketplace listing screened; complete seller terms and product quality not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"12","Later topic expansion","TedsWoodworking","TEDSPLANS","DIY & woodworking","Digital plan library","High gravity indicates affiliate sales activity, not plan quality or easy SEO. Requires more quality checks and woodworking expertise than kitchen products.","Woodworking plan libraries: what makes instructions usable?","woodworking plan library review; TedsWoodworking review","59.86","0.26","0.15","80.4","21","75% on front end and upsells claimed in marketplace listing; assigned rate not checked.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Current seller terms not verified. Check plan originality/licensing, measurements, safety and actual completeness before endorsing advertised quantities.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Affiliate URL listed; sample plans not reviewed.","Review representative beginner/intermediate plans, verify licensing and seller terms, then decide whether a dedicated DIY cluster is justified.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=TEDSPLANS&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DTEDSPLANS","https://tedswoodworking.com/aff","","Marketplace listing screened; complete seller terms and product quality not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"13","Alternative recipe candidate","200 Delicious Smoothie Recipes Ebook","324258","Kitchen & cooking","Digital recipe book","Useful breakfast/blender content fit but modest observed payout and limited seller transparency. Secondary to the main plant-based cookbook.","A smoothie recipe ebook: ingredients, quantities and variety","smoothie recipe ebook review; easy breakfast smoothie recipes","7.56","0.37","0.03","1.6","759","Not verified; average marketplace commission is $7.56 and is not a fixed rate.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Full affiliate terms, image rights and permitted claims unverified. Do not use detox or weight-loss promises.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","No affiliate-resource link displayed; seller contact shown as cathy@cathysamazingrecipes.com.","Request a review copy, current terms and image rights. Test portions, taste, accessibility of ingredients and recipe variety before promotion.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=324258&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3D324258","","","Marketplace listing screened; complete seller terms and product quality not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"14","Alternative recipe candidate","250 Mouthwatering Vegan Recipes Cookbook","324259","Kitchen & cooking","Digital recipe book","Relevant recipe topic, but overlaps with PLANTBC and has lower observed average commission. Do not launch several near-identical cookbook promotions together.","Choosing a vegan recipe ebook: everyday usability checklist","vegan recipe ebook review; beginner vegan cookbook","5.82","0","0","1.8","916","Not verified; average marketplace commission is $5.82 and is not a fixed rate.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Full terms and asset rights unverified. Avoid weight-loss promises and generic copied recipe content.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","No affiliate-resource link displayed; seller contact shown as cathy@cathysamazingrecipes.com.","Get a sample and terms, compare directly with PLANTBC on recipe quality/value, then choose one as the primary offer.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=324259&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3D324259","","","Marketplace listing screened; complete seller terms and product quality not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"15","Alternative recipe candidate","Keto Breads & Keto Desserts","GFDESSERTS","Kitchen & baking","Digital recipe books","A baking-focused article may fit, but low observed EPC and health-oriented marketing make a recipe-only approach preferable.","Low-carb bread recipe ebooks: ingredients and baking results","low carb bread cookbook review; Keto Breads review","19.36","0.08","0.01","2.5","543","Not verified; do not assume the same commission for bread and dessert funnels.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Full seller terms and claims not reviewed. Avoid disease-treatment or guaranteed-weight-loss claims; verify allergens and ingredient costs.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Affiliate resource link listed; full recipe books not obtained.","Review seller terms, test multiple recipes and compare results with free alternatives. Evaluate as baking content, not health advice.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=GFDESSERTS&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DGFDESSERTS","https://healinggourmet.com/affiliates/ketobread/","","Marketplace listing screened; complete seller terms and product quality not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"16","Later specialist expansion","Aquaponics 4 You","AQUAPONICS","Garden & growing","Digital aquaponics guide","Possible garden topic but narrow and technically demanding; very limited observed activity. Needs realistic startup/maintenance information.","An aquaponics guide: setup costs, upkeep and space needs","aquaponics guide for beginners; Aquaponics 4 You review","23.16","0","0","0.7","838","Not verified.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Seller terms not reviewed. Avoid extraordinary yield claims; fish welfare, water quality, climate and electrical safety require competent review.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Affiliate URL listed; guide not inspected.","Inspect the guide with a knowledgeable grower and build a real US cost/maintenance comparison before considering promotion.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=AQUAPONICS&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DAQUAPONICS","https://www.aquaponics4you.com/affiliates.php","","Marketplace listing screened; complete seller terms and product quality not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"17","Later specialist expansion","Backyard Eggs / The Eggs Factory","CLUCKBOSS","Backyard & garden","Digital backyard poultry offer","Adjacent backyard-living topic, but the listing emphasizes earnings and has minimal current activity. Requires animal-care and local-rule knowledge.","Before keeping backyard hens: space, costs and local rules","backyard chickens startup costs; backyard hen guide","29.93","0","0","0.4","879","Not verified.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Full terms and curriculum not reviewed. Avoid profit/income promises; confirm husbandry, disease-control and local permit information.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Affiliate URL listed; product and rights not reviewed.","Obtain the actual product and terms; inspect animal-care quality and separate hobby costs from unverified egg-business earnings.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=CLUCKBOSS&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DCLUCKBOSS","https://theeggsfactory.com/affiliates/","","Marketplace listing screened; complete seller terms and product quality not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"18","Keep draft - user instruction","Derila Ergo Memory Foam Pillow","DERILAERGO","Sleep & comfort","Physical memory-foam pillow","Existing comfort-category fit and visible marketplace activity. User explicitly instructed that this offer remain draft-only.","A contoured memory-foam pillow: dimensions, feel and buying checklist","contoured memory foam pillow; butterfly pillow review","54.12","2.63","1.43","51.5","33","CPA available; rate and revshare not verified. Marketplace approval required.","Marketplace approval required. User has not supplied an approved tracked link for publication.","User-provided seller rules: no brand bidding, brand domains/redirects, logo/design copying, official-site implication or DERILA ERGO in site header/footer. Do not claim it treats sleep apnea or cures pain.","USA identified in user-supplied seller materials. Current delivered price, shipping and returns not independently checked.","User supplied official creative folder and policy text. Medical ad claims are not independent evidence.","Keep draft. Obtain sample/approval, verified product facts and an affiliate link before any future publication; publish only if the user later changes draft-only instruction.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=DERILAERGO&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DDERILAERGO","https://drive.google.com/drive/u/0/folders/1aE2uEeC-LTFo8-xAos_t4q0A__8_N1fU","https://docs.google.com/document/d/16aweeMgETVdFw_PIB0RYWjbIqCaIZPTx3xnAHviuAro/edit","Marketplace metrics read; restrictions from user-pasted seller materials; linked policy document not re-read; no product test.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"19","Hold - verify product and terms","SilentWav","SILENTWAV","Sleep & comfort routines","Digital sound sessions","Potential relaxation/audio topic, but no average commission and no demonstrated marketplace performance. Product value and scientific framing require review.","A sound-session app: features, downloads and usability","relaxation sound app review; SilentWav review",,"0","0","0","1113","Not verified. Listing describes $69 lifetime access; current price and terms not checked.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Full seller terms unavailable in web research. Avoid guaranteed cognitive, sleep or clinical claims.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Affiliate page listed; no demo/full product inspected.","Verify affiliate terms and obtain a demo; compare ordinary audio features/value with free alternatives before including in the blog.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=SILENTWAV&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DSILENTWAV","https://silentwav.com/affiliates","","Marketplace listing screened; complete seller terms and product quality not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"20","Hold - overlap and terms check","1 Month Vegan Challenge","1MONTHVEG","Kitchen & meal planning","Digital meal-plan challenge","Recipe-planning relevance but duplicates the plant-based cookbook audience, with little current marketplace activity. Avoid expanding into health claims.","A month of plant-based meal planning: what a paid guide adds","plant based meal planning guide; 1 Month Vegan Challenge review","10.43","0","0","0.6","991","75% claimed in marketplace listing; current scope/rate unverified.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Full current terms not reviewed. Do not repeat unsupported weight-loss or medical claims.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Affiliate URL listed; meal plan and permitted assets not inspected.","Compare the actual recipe/meal-plan content with PLANTBC and verify affiliate terms before selecting either offer.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=1MONTHVEG&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3D1MONTHVEG","https://www.1monthvegan.com/affiliate-tools-area.php","","Marketplace listing screened; complete seller terms and product quality not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"21","Hold - editorial restriction","Veganize Baking","VEGANBAKE","Kitchen & baking","Digital baking guide","Excellent topic fit in principle, but the seller prohibits non-positive reviews and performance is unproven. Resolve the editorial restriction before considering an affiliate review.","Vegan baking substitutions: how to assess a paid guide","vegan baking guide review; vegan egg substitutes baking",,"0","0","0","1070","Seller: 75% standard; 90% upgrade can be requested; CPA for high-volume affiliates. Higher rates are not approved for this account.","Approval badge not shown; seller page references approved affiliates. Confirm acceptance and permission for balanced reviews.","Seller prohibits non-positive reviews, own bonuses, false/discounted prices, direct checkout, spam and misrepresentation. This conflicts with unrestricted critical reviews.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Banners and email swipe folders provided; recipe testing still required.","Obtain written clarification permitting balanced pros/cons and accurate negative findings. If unavailable, choose another cookbook; do not suppress genuine criticism.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=VEGANBAKE&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DVEGANBAKE","https://veganizebaking.com/affiliates","https://veganizebaking.com/affiliates/","Marketplace and current seller affiliate terms read; no product or checkout test.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"22","Hold - network and editorial terms","Self Sufficient Backyard","SBACKYARD","Garden & self-sufficiency","Guide/book offer","Relevant gardening content and affiliate activity, but the public affiliate resource page routes to Digistore24 while ClickBank lists the offer; seller also restricts non-positive reviews.","A backyard self-sufficiency guide: realistic projects and costs","small backyard self sufficiency guide; Self Sufficient Backyard review","39.6","0.27","0.1","13.7","197","Current ClickBank-specific rate not verified; do not import Digistore24 payout terms.","Marketplace approval badge not shown. Confirm current ClickBank program and organic-review permission with seller.","Seller page disallows non-positive reviews, brand bidding, direct checkout, rebates and false endorsements; paid advertising needs approval. Clarify network-specific applicability.","English-language backyard guide marketed to US buyers; current format, US checkout, shipping if printed, price and refund process unverified.","Public seller affiliate resources reviewed; network mismatch unresolved.","Resolve current ClickBank routing, commission and balanced-review rights in writing before building content or generating a monetized link.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=SBACKYARD&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DSBACKYARD","https://www.selfsufficientbackyard.com/affiliates/","","Marketplace and public seller affiliate terms read; network mismatch not resolved; product not reviewed.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"23","Hold - evidence and claims review","Breathing for Sleep","YOURSLEEP","Sleep & comfort routines","Digital breathing routine","Could fit relaxation content, but the marketplace promises unusually strong sleep outcomes. Clinical benefit and program safety have not been established in this research.","Bedtime breathing routines: what a paid program contains","bedtime breathing routine review; Breathing for Sleep review","59.22","0.52","0.32","3","314","Not verified.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Seller terms and actual routine not reviewed. Do not present marketing claims as proven treatment or guarantee restorative sleep.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Affiliate page listed; no program access obtained.","Review the routine with appropriate expertise, confirm current seller terms and limit any coverage to substantiated features and personal usability.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=YOURSLEEP&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DYOURSLEEP","https://breatheandsleep.org/partners","","Marketplace listing screened; complete seller terms and product quality not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"24","Hold - specialist evidence needed","Pulsetto Lite","PULSETTO","Sleep & stress devices","Physical stimulation device","Higher commission does not overcome the need to verify device-specific evidence, contraindications and allowed claims. Too complex for the initial general buying-guide launch.","","","113.91","2.9","3.19","3","378","CPA available; individual rate and revshare not verified.","Marketplace approval required.","Do not turn seller doctor-approved or stress/sleep claims into verified facts. Device-specific instructions, evidence and current US regulatory status have not been independently checked.","US sale eligibility, labeling, shipping and contraindications not verified.","Seller Drive resource link listed; materials not accessed for this comparison.","Defer until specialist review, seller approval and device-specific evidence checks are completed. Prefer simpler kitchen/home products now.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=PULSETTO&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DPULSETTO","https://drive.google.com/drive/folders/1Bv5HadmG3jwwMkmwxHS4xlI54pzcAbvs?usp=sharing","","Marketplace listing screened; complete seller terms and product quality not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"25","Avoid for initial site","SEPTIFIX","SEPTIFIX","Septic-system products","Physical septic additive","Poor fit for an evidence-led beginner affiliate site: EPA does not recommend routine bacterial/chemical septic additives. General guidance is not a product-specific test of SEPTIFIX.","","","75.94","0.13","0.11","29.3","69","Not verified.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Do not imply an additive replaces pumping, repairs or professional assessment. Seller-specific performance evidence and full terms not reviewed.","Seller markets to US; product-specific efficacy and shipping not checked.","Affiliate URL listed; no sample or independent testing reviewed.","Exclude from the initial monetization plan. If covering septic care, use authoritative maintenance guidance and professional input.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=SEPTIFIX&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DSEPTIFIX","https://septifix.com/aff","https://www.epa.gov/system/files/documents/2024-09/septictankadditivesfactsheet.pdf","Marketplace screened and EPA general additive guidance checked; no product-specific efficacy review.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"26","Avoid for initial site","EZ Battery Reconditioning","EZBATTERY","DIY battery repair","Digital repair course","Battery-repair content adds chemical/electrical safety and technical-verification needs beyond the current blog expertise. Seller headline CVR/EPC differs from the actual marketplace fields.","","","48.48","0.54","0.28","15.7","128","Not verified.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Do not repeat near-universal battery-restoration or earnings claims. Technical safety and current seller terms not reviewed.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Affiliate URL listed; course not obtained.","Exclude from the launch plan; reconsider only with a competent technical reviewer and verified instructions.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=EZBATTERY&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DEZBATTERY","https://ezbatteryreconditioning.com/affiliates/","","Marketplace listing screened; complete seller terms and product quality not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
